c_id,is_course,name,dept,description,university,professor,related_doc_link,demo_video_link,prereq,overall_rating,overall_count,ind_user_rating,ind_user_count,est_user_rating,est_user_count,uest_user_rating,uest_user_count
CMPE 140 ,Yes,Computer Architecture and Design,Computer Engineering,"Pipelining and timing issues in CPU data-paths. Principles of RISC-type CPU instruction set and architecture. Structural, data and control hazards in a RISC processor, forwarding loops, branch mechanisms. Memory architectures in CPUs such as register files and caches.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 142 ,Yes,Operating Systems Desig,Computer Engineering,"history, concepts, system calls and structures. Management of major components processes, memory, input/output and files. Design of system calls and device drivers for hardware dependence. Concepts of kernel and shell, file protection and interactive computation.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 143 ,Yes,Microcomputer Design,Computer Engineering,"Microcomputer architecture using modern microprocessors and related integrated circuits clock subsystem, BUS drivers, map decoders, R/W memory, ROM, serial and parallel I/O, DMA, interrupt",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 146 ,Yes,Real-Time Embedded System Co-Design,Computer Engineering,"Embedded system architecture with real-time operating system including microcontrollers, interfacing techniques for industrial applications using transducers, sensors, and A/D-D/A converters. Hardware/software integration and codesign. ",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 147 ,Yes,Fundamentals of System on Chip (SoC) Design,Computer Engineering,"Review of system timing for pipelined structures. ARM processor and its Advanced Microprocessor Bus Architecture (AMBA) protocol. The fundamentals of SRAM, SDRAM and E2PROM and their interfaces with AMBA. Direct Memory Access (DMA) design and its interface with AMBA.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 148 ,Yes,Computer Networks I,Computer Engineering,"Comparative evaluation of network architecture, layering model, standards, protocol examples for ISO and TCP/IP layers. Network applications, transport layer protocols, Internet routing, data link and physical transmissions. Applications in world wide web, file transfer, electronic mail, peer-to-peer and other areas.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 149 ,Yes,Computer Networks II,Computer Engineering,Protocol design and simulation in local and metropolitan area networks.,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 152 ,Yes,Compiler Design,Computer Engineering,"Principles of lexical analysis, finite state automata and parsing; issues of variable declarations, variable types, control statements, function calls, nested scopes and efficient assembler target code.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 163 ,Yes,Computer Graphics Program Design,Computer Engineering,"Introduction to principles of computer graphics. Elementary operations in two and three dimensional space. Homogeneous coordinates, projective transformations. Algorithms for clipping, hidden surface removal, initializing. Graphic system design. ",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 164 ,Yes,Wireless Networks Architecture and Design,Computer Engineering,"Wireless Network Design and Architecture, including the communication theory, communication protocols, wireless processors and system level design, Based Band encoding and communications, IF/RF communications, error correction coding, and system level implementation.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 165 ,Yes,Software Engineering Process Management,Computer Engineering,"Integrated approach to managing development within small teams; including mission statement, synthesis of design concepts, tradeoff studies, risk assessment and the interactions encountered in the optimal design, development, manufacture and test of systems.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 168,Yes, Software Design Studio I,Computer Engineering,"Advanced software requirements elicitation, analysis and documentation. Software architectural design. Software team process infrastructure. Technical management of software development teams and resource estimation to support appropriate levels of quality. Quality assurance planning and execution. ",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 172 ,Yes,Enterprise Software Platforms,Computer Engineering,"Introduction to enterprise software systems. Covers network operating systems, DBMS, transaction monitors, groupware, distributed objects, system management and the Web. Covers standards such as J2EE, CORBA, SQL, JDBC, and HTTP; and emerging software technologies.",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 179 ,Yes,Digital Design Using Hardware Description Languages,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 180,Yes, Individual Studies,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 187 ,Yes,Software Quality Testing,Computer Engineering,"Software quality control, software testing concepts, methods, strategies, coverage criteria, test automation",San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 197 ,Yes,Cooperative Education Project,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 198,Yes, Technology and Civilization,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 200 ,Yes,Computer Architecture,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 202 ,Yes,Software Systems Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 203 ,Yes,Software Engineering Management,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 206 ,Yes,Computer Network Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 207 ,Yes,Network Programming and Application,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 208 ,Yes,Network Architecture and Protocols,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 209 ,Yes,Network Security,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 212 ,Yes,Computer System Design with SoC Approach,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 213 ,Yes,Parallel Processing,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 217 ,Yes,Human Computer Interaction,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 219,Yes,Research in Human Computer Interactio,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 220 ,Yes,System Software,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 221 ,Yes,SOA Analysis and Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 225 ,Yes,Operating System Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 226 ,Yes,Database Systems,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 227 ,Yes,Distributed Systems,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 232 ,Yes,Component-Based and Reuse-Driven Software Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 234 ,Yes,Multimedia System Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 235 ,Yes,Mobile Software System Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 236,Yes, Web-Based Application Systems and Tools,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 237 ,Yes,Design of E-Commerce Systems,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 238,Yes, Agent-Oriented Enterprise Software Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 239 ,Yes,Web and Data Mining,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 241 ,Yes,Embedded System Development Tools,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 242 ,Yes,Embedded Hardware Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 243 ,Yes,Embedded Systems Applications,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 244,Yes, Embedded Software,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 245,Yes,Embedded Wireless Architecture,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 250,Yes, Computerized Robots,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 251,Yes, Software Techniques in Robotics,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 261 ,Yes,Real Time Computer System,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 262,Yes, Embedded Multimedia Architecture,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 264 ,Yes,Advanced Digital and Computing System Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 265 ,Yes,High Speed Digital System Design,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 270,Yes, Information Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 271,Yes, Advanced Java Programming,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 272 ,Yes,Enterprise Software Platforms,Computer Engineering,"Enterprise software, system and virtualized platforms. Covers OSs, NOS, security, databases (OLTP, Big Data, Analytics), transactions, groupware, components, web services, web, systems management and app development. Covers standards and emerging technologies. Prerequisite: Classified graduate standing or instructor consent.",San Jose State University,Rakesh Ranjan,http://ms.se.sjsu.edu/~dharkey/cmpe272-summer2009/CMPE272-Summer2009-harkey-green-sheet.pdf,http://tinyurl.com/m7xb66e,,5,3,5,3,0,0,0,0
CMPE 273 ,Yes,Enterprise Distributed Systems,Computer Engineering,"Introduction to application protocols for large scale distributed systems including object request brokers, asynchronous messaging, and Web services. Lab is based on using protocols to build distributed systems. Prerequisites: Java programming or instructor consent. Corequisites: CMPE 272",San Jose State University,Sang Shim,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE273.html,http://tinyurl.com/m7xb66e,CMPE 272,5,4,5,4,0,0,0,0
CMPE 274 ,Yes,Business Intelligence Technologies,Computer Engineering,This course covers technologies that are key to delivering business intelligence to an enterprise. The goal of business intelligence is to analyze and mine business data to understand and improve business performance by transforming business data into information into knowledge. Prerequisite: CMPE 272 or instructor consent.,San Jose State University,Magdalini Eirinaki,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE274.html,http://tinyurl.com/m7xb66e,CMPE 272,4,2,4,2,0,0,0,0
CMPE 275,Yes, Enterprise Application Development,Computer Engineering,"Distributed component design, scalability, messaging, and integration practices for modern and emerging architectures and technologies. Prerequisite: CMPE 273 or instructor consent.",San Jose State University,John Gash,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE275.html,http://tinyurl.com/m7xb66e,CMPE 273,3,2,3,2,0,0,0,0
CMPE 276 ,Yes,XML for E-Business,Computer Engineering,"XML technologies for enabling e-business. Covers XML, (Namespaces), DTD, XML Schema, (DTD and XSD), XML APIs (SAX and DOM) XML languages (XPath, XPointer, and XSLT), and XML databases (XQuery). Lab is based on Xerces/Xalan, DTC/XSD, SAX/DOM, and XSDLT. Prerequisite: CMPE 273. Corequisite: CMPE 275 or instructor consent.",San Jose State University,Lee Chang,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE276.html,http://tinyurl.com/m7xb66e,CMPE 273,2,2,2,2,0,0,0,0
CMPE 277 ,Yes,Smartphone Application Development,Computer Engineering,"Architectures, technologies, and programming concepts for developing smartphone applications. Covers current smartphone/tablet OSs, application development, and deployment environments. Prerequisites: Classified graduate standing or instructor consent",San Jose State University,"Bindal, Ahmet",http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE277.html,http://tinyurl.com/m7xb66e,,3,2,3,2,0,0,0,0
CMPE 278 ,Yes,Advanced Enterprise Components,Computer Engineering,"Server-side component construction on the J2EE application server platform focusing on the use of design patterns and advanced technologies. Includes UML modeling, database, user interface design, component testing, packaging and installation, and J2EE clustering. Team development is emphasized. Prerequisite: CMPE 275.",San Jose State University,"Bindal, Ahmet",http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE278.html,http://tinyurl.com/m7xb66e,,3,2,3,2,0,0,0,0
CMPE 279 ,Yes,Software Security Technologies,Computer Engineering,"The course provides the fundamental concepts, methods and tools used to design and implement software security technologies for constructing trustworthy centralized, distributed or enterprise-wide software systems. Prerequisite: CMPE 220 or CMPE 202 or instructor consent.",San Jose State University,"Perry, Keith",http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE279.html,http://tinyurl.com/m7xb66e,,3,2,3,2,0,0,0,0
CMPE 281 ,Yes,Cloud Technologies,Computer Engineering,"Cloud computing concepts, evolution, architectures, infrastructures, opportunities, risks, enterprise adoption strategies, standards and polices, Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS), Infrastructure-as-a-Service (IaaS), modern cloud computing technologies and tools, case studies and team projects. Corequisites: CMPE 272 or instructor consent.",San Jose State University,Paul Nguyen,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE281.html,http://tinyurl.com/m7xb66e,CMPE 272,3,2,3,2,0,0,0,0
CMPE 282 ,Yes,Cloud Services,Computer Engineering,"Cloud service architecture and layering, administrative issues, resiliency and security considerations; business development, operations and business support service, case studies and team projects. Prerequisites: CMPE 281 or instructor consent.",San Jose State University,Paul Nguyen,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE282.html,http://tinyurl.com/m7xb66e,CMPE 281,0.6,1,0,0,0,0,0.6,1
CMPE 283 ,Yes,Virtualization Technologies,Computer Engineering,"Virtualization concepts, components and infrastructure, hardware and software virtualization, virtualization machine life cycle management, virtualization services, case studies and team projects. Prerequisites: CMPE 147 or instructor consent Corequisites: CMPE 272 or instructor consent.",San Jose State University,Sang Shim,http://info.sjsu.edu/web-dbgen/catalog/courses/CMPE283.html,http://tinyurl.com/m7xb66e,CMPE 272,0.9,1,0,0,0.9,1,0,0
CMPE 284 ,Yes,Storage and Network Virtualization,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 285 ,Yes,Software Engineering Processes,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 286 ,Yes,Advanced Software Engineering Processes,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 287 ,Yes,Software Quality Assurance and Testing,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 289 ,Yes,Cloud Security Engineering,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
CMPE 290 ,Yes,Computer Engineering Research and Development Methods,Computer Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
AS 001A,Yes, The Foundation of the United States Air Force,AEROSPACE STUDIES DEPARTMENT,"Introduces students to the Air Force and AFROTC with an overview of basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, career opportunities, military customs and courtesies, and an introduction to communications skills. Notes: Year course. Enrollment in leadership lab required.",San Jose State University,,http://info.sjsu.edu/web-dbgen/catalog/courses/AS001A.html,http://tinyurl.com/m7xb66e,,5,3,5,3,0,0,0,0
AS 001B ,Yes,The Foundation of the United States Air Force,AEROSPACE STUDIES DEPARTMENT,"Introduces students to the Air Force and AFROTC with an overview of basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, career opportunities, military customs and courtesies, and an introduction to communications skills. Notes: Year course. Enrollment in leadership lab required.",San Jose State University,,http://info.sjsu.edu/web-dbgen/catalog/courses/AS001B.html,http://tinyurl.com/m7xb66e,,5,4,5,4,0,0,0,0
AS 002A,Yes, The Evolution of USAF Air and Space Power,AEROSPACE STUDIES DEPARTMENT,"Examines general aspects of air and space power through historical study and analysis and provides the student with a knowledge level understanding of the capabilities, function and doctrinal employment of aerospace forces; emphasizes development of oral and written communication skills. Notes: Year course. Enrollment in leadership lab required.",San Jose State University,,http://info.sjsu.edu/web-dbgen/catalog/courses/AS002A.html,http://tinyurl.com/m7xb66e,,4,2,4,2,0,0,0,0
AS 002B ,Yes,The Evolution of USAF Air and Space Power,AEROSPACE STUDIES DEPARTMENT,"Examines general aspects of air and space power through historical study and analysis and provides the student with a knowledge level understanding of the capabilities, function and doctrinal employment of aerospace forces; emphasizes development of oral and written communication skills. Notes: Year course. Enrollment in leadership lab required.",San Jose State University,,http://info.sjsu.edu/web-dbgen/catalog/courses/AS002B.html,http://tinyurl.com/m7xb66e,,3,2,3,2,0,0,0,0
AS 131A,Yes, Air Force Leadership Studies,AEROSPACE STUDIES DEPARTMENT,,San Jose State University,,,,,0,0,0,0,0,0,0,0
AS 131B,Yes, Air Force Leadership Studies,AEROSPACE STUDIES DEPARTMENT,,San Jose State University,,,,,0,0,0,0,0,0,0,0
AS 141A ,Yes,National Security Affairs,AEROSPACE STUDIES DEPARTMENT,,San Jose State University,,,,,0,0,0,0,0,0,0,0
AS 141B ,Yes,Preparation for Active Duty,AEROSPACE STUDIES DEPARTMENT,,San Jose State University,,,,,0,0,0,0,0,0,0,0
AS 180 ,Yes,Individual Studies,AEROSPACE STUDIES DEPARTMENT,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 005 ,Yes,Science of High Technology,General Engineering,,San Jose State University,,,,,5,3,5,3,0,0,0,0
ENGR 008Q ,Yes,Engineering Success,General Engineering,,San Jose State University,,,,,5,4,5,4,0,0,0,0
ENGR 010 ,Yes,Introduction to Engineering,General Engineering,,San Jose State University,,,,,4,2,4,2,0,0,0,0
ENGR 011 ,Yes,Intro to Engineering Transfer Students,General Engineering,,San Jose State University,,,,,3,2,3,2,0,0,0,0
ENGR 081W ,Yes,Basic Writing Workshop,General Engineering,,San Jose State University,,,,,2,2,2,2,0,0,0,0
ENGR 098,Yes,Technology and Women,General Engineering,,San Jose State University,,,,,3,2,3,2,0,0,0,0
ENGR 100W ,Yes,Engineering Reports,General Engineering,,San Jose State University,,,,,3,2,3,2,0,0,0,0
ENGR 102 ,Yes,Renewable Energy Engineering,General Engineering,,San Jose State University,,,,,3,2,3,2,0,0,0,0
ENGR 103 ,Yes,Life Cycle Engineering,General Engineering,,San Jose State University,,,,,3,2,3,2,0,0,0,0
ENGR 108,Yes, Green Electronics,General Engineering,,San Jose State University,,,,,0.6,1,0,0,0,0,0.6,1
ENGR 109 ,Yes,Climate Solutions Initiative,General Engineering,,San Jose State University,,,,,0.9,1,0,0,0.9,1,0,0
ENGR 119 ,Yes,Energy and the Environment,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 157 ,Yes,Community Action/Community Service,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 180 ,Yes,Individual Studies,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 184,Yes, Business Strategy in Practice in Technology Enterprise,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 194,Yes, Business Organization and Management of Technology Enterprise,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 198 ,Yes,Technology and Civilization,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 202 ,Yes,Systems Engineering,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 203,Yes, Engineering Management,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 205,Yes, Machine Learning,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 206 ,Yes,Renewable Energy Systems,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 207,Yes, Solar Cell Device Physics,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 208,Yes, Solar Module Technologies,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 210 ,Yes,Green Technology,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 211,Yes, PV Manufacturing,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 212 ,Yes,Engineering Management in a Global Economy,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 220 ,Yes,Bioinfo Comp Tools & Alg for Engr,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 230 ,Yes,Special Topics Next Generation Sequencing for Engineers,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 236 ,Yes,Design for Manufacturability,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 240,Yes, Introduction to Microelectronic Packaging,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 242,Yes, Electrical Requirements for Microelectronic Packaging,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 244,Yes, Mechanical and Thermal Requirements for Microelectronic Packaging,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 271 ,Yes,Passive Optical Sensing,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 273 ,Yes,Active Optical Sensing,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 281 ,Yes,Master's Project/Thesis Preparation Seminar,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282A ,Yes,Engineering for Teachers Introduction to Engineering Design,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282B ,Yes,Engineering for Teachers Principles of Engineering,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282C ,Yes,Engineering for Teachers Digital Electronics,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282D,Yes, Engineering for Teachers Gateway to Technology Foundations,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282E,Yes, Engineering for Teachers Gateway to Technology Specializations,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
ENGR 282F ,Yes,Engineering for Teachers Civil Engineering and Architecture,General Engineering,,San Jose State University,,,,,0,0,0,0,0,0,0,0
